"ngrams","freq","prop"
"the climate pledge ",6,0.0015193719929096
"place to work ",6,0.0015193719929096
"more than million ",5,0.00126614332742466
"earth’s best employer ",5,0.00126614332742466
"safest place to ",4,0.00101291466193973
"earth’s safest place ",4,0.00101291466193973
"employer and earth’s ",4,0.00101291466193973
"best employer and ",4,0.00101291466193973
"and earth’s safest ",4,0.00101291466193973
"create value for ",4,0.00101291466193973
"than you consume ",3,0.000759685996454799
"to be earth’s ",3,0.000759685996454799
"customer value creation ",3,0.000759685996454799
"more than you ",3,0.000759685996454799
"proud of the ",3,0.000759685996454799
"you have to ",3,0.000759685996454799
"our relationship with ",3,0.000759685996454799
"we need to ",3,0.000759685996454799
"into equilibrium with ",3,0.000759685996454799
"create more than ",3,0.000759685996454799
"what it is ",2,0.000506457330969866
"earth’s most customer ",2,0.000506457330969866
"who are they ",2,0.000506457330969866
"be earth’s best ",2,0.000506457330969866
"to a physical ",2,0.000506457330969866
"a place to ",2,0.000506457330969866
"for our hourly ",2,0.000506457330969866
"create jobs for ",2,0.000506457330969866
"is real or ",2,0.000506457330969866
"at amazon are ",2,0.000506457330969866
"employees who are ",2,0.000506457330969866
"be on the ",2,0.000506457330969866
"with employees is ",2,0.000506457330969866
"about the past ",2,0.000506457330969866
"in of billion ",2,0.000506457330969866
"in the same ",2,0.000506457330969866
"that is what ",2,0.000506457330969866
"customer centric company ",2,0.000506457330969866
"years ahead of ",2,0.000506457330969866
"part of this ",2,0.000506457330969866
"part of the ",2,0.000506457330969866
"most customer centric ",2,0.000506457330969866
"a friend as ",2,0.000506457330969866
"relationship with employees ",2,0.000506457330969866
"to a friend ",2,0.000506457330969866
"for our employees ",2,0.000506457330969866
"we wanted to ",2,0.000506457330969866
"i think we ",2,0.000506457330969866
"some of the ",2,0.000506457330969866
"period of time ",2,0.000506457330969866
"it will be ",2,0.000506457330969866
"me that we ",2,0.000506457330969866
"to say that ",2,0.000506457330969866
"climate pledge signatories ",2,0.000506457330969866
"the coming decade ",2,0.000506457330969866
"for employees in ",2,0.000506457330969866
"wants you to ",2,0.000506457330969866
"be part of ",2,0.000506457330969866
"to maintain the ",2,0.000506457330969866
"clear to me ",2,0.000506457330969866
"our hourly employees ",2,0.000506457330969866
"we create value ",2,0.000506457330969866
"we have no ",2,0.000506457330969866
"of renewable energy ",2,0.000506457330969866
"the direct cost ",2,0.000506457330969866
"for a total ",2,0.000506457330969866
"vehicles will be ",2,0.000506457330969866
"to be part ",2,0.000506457330969866
"to employees who ",2,0.000506457330969866
"a better vision ",2,0.000506457330969866
"as a place ",2,0.000506457330969866
"to lead on ",2,0.000506457330969866
"need to be ",2,0.000506457330969866
"to keep alive ",2,0.000506457330969866
"amazon to a ",2,0.000506457330969866
"the large team ",2,0.000506457330969866
"they would recommend ",2,0.000506457330969866
"it’s clear to ",2,0.000506457330969866
"have to work ",2,0.000506457330969866
"world we have ",2,0.000506457330969866
"would recommend amazon ",2,0.000506457330969866
"want to be ",2,0.000506457330969866
"trillion of wealth ",2,0.000506457330969866
"lead on wages ",2,0.000506457330969866
"in addition to ",2,0.000506457330969866
"need a better ",2,0.000506457330969866
"million prime members ",2,0.000506457330969866
"we need a ",2,0.000506457330969866
"friend as a ",2,0.000506457330969866
"to me that ",2,0.000506457330969866
"net zero carbon ",2,0.000506457330969866
"let the universe ",2,0.000506457330969866
"that we need ",2,0.000506457330969866
"large team of ",2,0.000506457330969866
"when we set ",2,0.000506457330969866
"because we wanted ",2,0.000506457330969866
"zero carbon economy ",2,0.000506457330969866
"i’m excited to ",2,0.000506457330969866
"will be on ",2,0.000506457330969866
"recommend amazon to ",2,0.000506457330969866
"better vision for ",2,0.000506457330969866
"we have to ",2,0.000506457330969866
"to do a ",2,0.000506457330969866
"your distinctiveness to ",2,0.000506457330969866
"to answer because ",2,0.000506457330969866
