"lat","long","depth","mag","place","time","status","tsunami","sig","felt","nst","rms","type"
61.5,-149.9373,41,1.5,"Southern Alaska",1544119071643,"automatic",0,35,NA,NA,0.89,"earthquake"
61.3465,-150.0797,20,2.6,"Southern Alaska",1544118738934,"automatic",0,104,NA,NA,0.87,"earthquake"
61.4613,-149.9875,40.8,2.4,"Southern Alaska",1544118708213,"automatic",0,89,NA,NA,1.13,"earthquake"
61.4512,-149.9192,29.8,2.4,"Southern Alaska",1544118407761,"automatic",0,89,NA,NA,0.85,"earthquake"
61.4675,-149.9295,32.9,1.7,"Southern Alaska",1544118307224,"automatic",0,44,NA,NA,0.8,"earthquake"
33.5005,-116.7923333,4.23,0.82,"9km NE of Aguanga, CA",1544118058650,"automatic",0,10,NA,30,0.2,"earthquake"
61.4785,-149.9105,36.3,1.5,"Southern Alaska",1544117716540,"automatic",0,35,NA,NA,0.53,"earthquake"
61.4525,-149.9762,34.2,1.6,"Southern Alaska",1544117627518,"automatic",0,39,NA,NA,0.65,"earthquake"
-22.9198,168.7793,10,5,"New Caledonia",1544117560680,"reviewed",0,385,NA,NA,0.8,"earthquake"
61.5019,-149.9229,36.7,1.5,"Southern Alaska",1544117421407,"automatic",0,35,NA,NA,0.59,"earthquake"
33.4991667,-116.797,4.18,0.68,"9km NE of Aguanga, CA",1544117250780,"automatic",0,7,NA,20,0.19,"earthquake"
61.3978,-150.0557,31.1,2,"Southern Alaska",1544117120206,"automatic",0,62,NA,NA,0.98,"earthquake"
61.4367,-150.0756,33.1,1.9,"Southern Alaska",1544117081022,"automatic",0,56,NA,NA,0.59,"earthquake"
61.4813,-149.9298,32.9,1.8,"Southern Alaska",1544116916136,"automatic",0,50,NA,NA,0.39,"earthquake"
61.3842,-150.0196,34.3,1.6,"Southern Alaska",1544116848742,"automatic",0,39,NA,NA,0.51,"earthquake"
61.3935,-150.0272,38.5,1.6,"Southern Alaska",1544116440210,"automatic",0,39,NA,NA,0.42,"earthquake"
61.3789,-150.0317,36,1.6,"Southern Alaska",1544116075716,"automatic",0,39,NA,NA,0.68,"earthquake"
61.498,-149.9094,1,1.8,"Southern Alaska",1544115851841,"automatic",0,50,NA,NA,1.16,"earthquake"
61.4822,-149.9162,40.3,1.5,"Southern Alaska",1544115736053,"automatic",0,35,NA,NA,0.4,"earthquake"
61.4591,-149.8711,43.7,1.7,"Southern Alaska",1544115603882,"automatic",0,44,NA,NA,0.86,"earthquake"
61.4649,-149.9454,32.3,1.6,"Southern Alaska",1544115421756,"automatic",0,39,NA,NA,0.65,"earthquake"
61.4715,-150.0921,18.1,3.3,"Southern Alaska",1544115200361,"automatic",0,168,3,NA,0.81,"earthquake"
61.4969,-149.9086,39.3,3.2,"Southern Alaska",1544115189585,"automatic",0,158,0,NA,0.63,"earthquake"
61.4797,-149.9681,38.1,1.4,"Southern Alaska",1544115004609,"automatic",0,30,NA,NA,0.8,"earthquake"
61.4978,-149.9265,41.3,1.6,"Southern Alaska",1544114688741,"automatic",0,39,NA,NA,0.83,"earthquake"
61.5101,-149.9113,34.5,1.3,"Southern Alaska",1544114008395,"automatic",0,26,NA,NA,0.37,"earthquake"
