"","year","month","day","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","carrier","flight","tailnum","origin","dest","air_time","distance","hour","minute","time_hour"
"1",2013,1,1,554,558,-4,740,728,12,"UA",1696,"N39463","EWR","ORD",150,719,5,58,2013-01-01 05:00:00
"2",2013,1,1,558,600,-2,753,745,8,"AA",301,"N3ALAA","LGA","ORD",138,733,6,0,2013-01-01 06:00:00
"3",2013,1,1,558,600,-2,924,917,7,"UA",194,"N29129","JFK","LAX",345,2475,6,0,2013-01-01 06:00:00
"4",2013,1,1,608,600,8,807,735,32,"MQ",3768,"N9EAMQ","EWR","ORD",139,719,6,0,2013-01-01 06:00:00
"5",2013,1,1,628,630,-2,1016,947,29,"UA",1665,"N33289","EWR","LAX",366,2454,6,30,2013-01-01 06:00:00
"6",2013,1,1,629,630,-1,824,810,14,"AA",303,"N3CYAA","LGA","ORD",140,733,6,30,2013-01-01 06:00:00
"7",2013,1,1,656,700,-4,854,850,4,"AA",305,"N4WNAA","LGA","ORD",143,733,7,0,2013-01-01 07:00:00
"8",2013,1,1,658,700,-2,1027,1025,2,"VX",399,"N627VA","JFK","LAX",361,2475,7,0,2013-01-01 07:00:00
"9",2013,1,1,702,700,2,1058,1014,44,"B6",671,"N779JB","JFK","LAX",381,2475,7,0,2013-01-01 07:00:00
"10",2013,1,1,709,700,9,852,832,20,"UA",1092,"N26226","LGA","ORD",135,733,7,0,2013-01-01 07:00:00
"11",2013,1,1,715,713,2,911,850,21,"UA",544,"N841UA","EWR","ORD",156,719,7,13,2013-01-01 07:00:00
"12",2013,1,1,739,745,-6,918,930,-12,"AA",309,"N4WPAA","LGA","ORD",137,733,7,45,2013-01-01 07:00:00
"13",2013,1,1,743,730,13,1107,1100,7,"AA",33,"N338AA","JFK","LAX",358,2475,7,30,2013-01-01 07:00:00
"14",2013,1,1,749,710,39,939,850,49,"MQ",3737,"N508MQ","EWR","ORD",148,719,7,10,2013-01-01 07:00:00
"15",2013,1,1,824,830,-6,1027,1025,2,"AA",1855,"N573AA","LGA","STL",169,888,8,30,2013-01-01 08:00:00
"16",2013,1,1,828,830,-2,1027,1012,15,"B6",905,"N274JB","JFK","ORD",160,740,8,30,2013-01-01 08:00:00
"17",2013,1,1,828,823,5,1150,1143,7,"UA",1506,"N76528","EWR","LAX",359,2454,8,23,2013-01-01 08:00:00
"18",2013,1,1,829,830,-1,1152,1200,-8,"UA",443,"N554UA","JFK","LAX",360,2475,8,30,2013-01-01 08:00:00
"19",2013,1,1,830,830,0,1018,1015,3,"AA",313,"N4YCAA","LGA","ORD",137,733,8,30,2013-01-01 08:00:00
"20",2013,1,1,856,900,-4,1226,1220,6,"AA",1,"N324AA","JFK","LAX",358,2475,9,0,2013-01-01 09:00:00
"21",2013,1,1,859,900,-1,1223,1225,-2,"VX",407,"N846VA","JFK","LAX",359,2475,9,0,2013-01-01 09:00:00
"22",2013,1,1,902,903,-1,1048,1045,3,"UA",580,"N820UA","EWR","ORD",145,719,9,3,2013-01-01 09:00:00
"23",2013,1,1,921,900,21,1237,1227,10,"DL",120,"N713TW","JFK","LAX",333,2475,9,0,2013-01-01 09:00:00
"24",2013,1,1,931,930,1,1121,1108,13,"UA",255,"N479UA","LGA","ORD",154,733,9,30,2013-01-01 09:00:00
"25",2013,1,1,940,945,-5,1119,1130,-11,"AA",319,"N4WJAA","LGA","ORD",133,733,9,45,2013-01-01 09:00:00
"26",2013,1,1,941,945,-4,1300,1258,2,"B6",679,"N806JB","JFK","LAX",352,2475,9,45,2013-01-01 09:00:00
"27",2013,1,1,950,954,-4,1155,1142,13,"EV",4681,"N12567","EWR","STL",170,872,9,54,2013-01-01 09:00:00
"28",2013,1,1,953,921,32,1320,1241,39,"UA",222,"N586UA","EWR","LAX",346,2454,9,21,2013-01-01 09:00:00
"29",2013,1,1,1007,1010,-3,1147,1140,7,"MQ",3795,"N503MQ","EWR","ORD",131,719,10,10,2013-01-01 10:00:00
"30",2013,1,1,1026,1030,-4,1351,1340,11,"AA",19,"N328AA","JFK","LAX",356,2475,10,30,2013-01-01 10:00:00
"31",2013,1,1,1037,1030,7,1221,1210,11,"AA",321,"N581AA","LGA","ORD",133,733,10,30,2013-01-01 10:00:00
"32",2013,1,1,1038,1030,8,1223,1202,21,"UA",985,"N423UA","EWR","ORD",149,719,10,30,2013-01-01 10:00:00
"33",2013,1,1,1120,1125,-5,1330,1325,5,"WN",1057,"N469WN","LGA","STL",176,888,11,25,2013-01-01 11:00:00
"34",2013,1,1,1127,1130,-3,1504,1448,16,"UA",703,"N518UA","JFK","LAX",357,2475,11,30,2013-01-01 11:00:00
"35",2013,1,1,1130,1125,5,1301,1305,-4,"AA",327,"N3DEAA","LGA","ORD",127,733,11,25,2013-01-01 11:00:00
"36",2013,1,1,1133,1130,3,1448,1450,-2,"VX",409,"N839VA","JFK","LAX",347,2475,11,30,2013-01-01 11:00:00
"37",2013,1,1,1153,1200,-7,1450,1529,-39,"DL",863,"N712TW","JFK","LAX",330,2475,12,0,2013-01-01 12:00:00
"38",2013,1,1,1155,1200,-5,1517,1510,7,"AA",3,"N322AA","JFK","LAX",353,2475,12,0,2013-01-01 12:00:00
"39",2013,1,1,1158,1200,-2,1338,1331,7,"UA",701,"N588UA","LGA","ORD",142,733,12,0,2013-01-01 12:00:00
"40",2013,1,1,1217,1220,-3,1414,1350,24,"MQ",3697,"N517MQ","EWR","ORD",143,719,12,20,2013-01-01 12:00:00
"41",2013,1,1,1219,1220,-1,1415,1415,0,"AA",1757,"N545AA","LGA","STL",161,888,12,20,2013-01-01 12:00:00
"42",2013,1,1,1258,1300,-2,1459,1440,19,"AA",329,"N511AA","LGA","ORD",147,733,13,0,2013-01-01 13:00:00
"43",2013,1,1,1320,1320,0,1625,1636,-11,"UA",1425,"N58101","EWR","LAX",334,2454,13,20,2013-01-01 13:00:00
"44",2013,1,1,1327,1330,-3,1638,1655,-17,"VX",411,"N642VA","JFK","LAX",352,2475,13,30,2013-01-01 13:00:00
"45",2013,1,1,1337,1220,77,1649,1531,78,"B6",673,"N636JB","JFK","LAX",352,2475,12,20,2013-01-01 12:00:00
"46",2013,1,1,1341,1345,-4,1709,1705,4,"AA",117,"N339AA","JFK","LAX",362,2475,13,45,2013-01-01 13:00:00
"47",2013,1,1,1342,1320,22,1617,1504,73,"EV",3832,"N13969","EWR","STL",194,872,13,20,2013-01-01 13:00:00
"48",2013,1,1,1356,1259,57,1538,1438,60,"UA",32,"N17128","EWR","ORD",135,719,12,59,2013-01-01 12:00:00
"49",2013,1,1,1356,1354,2,1537,1526,11,"UA",617,"N840UA","LGA","ORD",146,733,13,54,2013-01-01 13:00:00
"50",2013,1,1,1416,1411,5,1603,1549,14,"UA",683,"N456UA","EWR","ORD",136,719,14,11,2013-01-01 14:00:00
"51",2013,1,1,1419,1420,-1,1557,1550,7,"MQ",3728,"N500MQ","EWR","ORD",136,719,14,20,2013-01-01 14:00:00
"52",2013,1,1,1445,1455,-10,1635,1645,-10,"AA",337,"N4UCAA","LGA","ORD",147,733,14,55,2013-01-01 14:00:00
"53",2013,1,1,1454,1500,-6,1815,1837,-22,"DL",1467,"N702TW","JFK","LAX",340,2475,15,0,2013-01-01 15:00:00
"54",2013,1,1,1456,1500,-4,1649,1632,17,"UA",685,"N802UA","LGA","ORD",140,733,15,0,2013-01-01 15:00:00
"55",2013,1,1,1522,1530,-8,1858,1855,3,"UA",530,"N512UA","JFK","LAX",356,2475,15,30,2013-01-01 15:00:00
"56",2013,1,1,1523,1516,7,1831,1828,3,"UA",1600,"N18112","EWR","LAX",337,2454,15,16,2013-01-01 15:00:00
"57",2013,1,1,1528,1459,29,2002,1647,NA,"EV",3806,"N17108","EWR","STL",NA,872,14,59,2013-01-01 14:00:00
"58",2013,1,1,1528,1530,-2,1731,1725,6,"AA",2223,"N573AA","LGA","STL",160,888,15,30,2013-01-01 15:00:00
"59",2013,1,1,1529,1457,32,1720,1634,46,"UA",459,"N497UA","EWR","ORD",138,719,14,57,2013-01-01 14:00:00
"60",2013,1,1,1539,1545,-6,1853,1910,-17,"AA",133,"N319AA","JFK","LAX",351,2475,15,45,2013-01-01 15:00:00
"61",2013,1,1,1546,1540,6,1753,1748,5,"9E",3338,"N904XJ","JFK","ORD",146,740,15,40,2013-01-01 15:00:00
"62",2013,1,1,1557,1600,-3,1746,1742,4,"UA",687,"N487UA","LGA","ORD",143,733,16,0,2013-01-01 16:00:00
"63",2013,1,1,1601,1601,0,1750,1735,15,"UA",702,"N484UA","EWR","ORD",141,719,16,1,2013-01-01 16:00:00
"64",2013,1,1,1603,1550,13,1751,1739,12,"B6",917,"N316JB","JFK","ORD",150,740,15,50,2013-01-01 15:00:00
"65",2013,1,1,1605,1610,-5,1804,1800,4,"AA",341,"N569AA","LGA","ORD",146,733,16,10,2013-01-01 16:00:00
"66",2013,1,1,1626,1630,-4,2007,1952,15,"B6",675,"N804JB","JFK","LAX",370,2475,16,30,2013-01-01 16:00:00
"67",2013,1,1,1632,1635,-3,1903,1840,23,"WN",190,"N258WN","LGA","STL",181,888,16,35,2013-01-01 16:00:00
"68",2013,1,1,1632,1635,-3,1824,1810,14,"MQ",3695,"N507MQ","EWR","ORD",139,719,16,35,2013-01-01 16:00:00
"69",2013,1,1,1655,1655,0,2025,2030,-5,"VX",413,"N626VA","JFK","LAX",362,2475,16,55,2013-01-01 16:00:00
"70",2013,1,1,1657,1650,7,1921,1840,41,"WN",2773,"N462WN","EWR","STL",181,872,16,50,2013-01-01 16:00:00
"71",2013,1,1,1701,1700,1,1856,1840,16,"UA",689,"N418UA","LGA","ORD",144,733,17,0,2013-01-01 17:00:00
"72",2013,1,1,1707,1700,7,2006,2000,6,"UA",342,"N543UA","EWR","LAX",334,2454,17,0,2013-01-01 17:00:00
"73",2013,1,1,1714,1720,-6,1915,1915,0,"AA",1351,"N3CVAA","JFK","ORD",146,740,17,20,2013-01-01 17:00:00
"74",2013,1,1,1716,1709,7,1902,1846,16,"UA",1623,"N19130","EWR","ORD",143,719,17,9,2013-01-01 17:00:00
"75",2013,1,1,1717,1720,-3,1920,1910,10,"AA",345,"N539AA","LGA","ORD",141,733,17,20,2013-01-01 17:00:00
"76",2013,1,1,1720,1725,-5,2121,2105,16,"DL",513,"N723TW","JFK","LAX",363,2475,17,25,2013-01-01 17:00:00
"77",2013,1,1,1750,1750,0,2109,2115,-6,"UA",535,"N525UA","JFK","LAX",345,2475,17,50,2013-01-01 17:00:00
"78",2013,1,1,1758,1749,9,2020,1943,37,"UA",1676,"N37274","EWR","ORD",135,719,17,49,2013-01-01 17:00:00
"79",2013,1,1,1802,1801,1,2125,2137,-12,"UA",1165,"N75429","EWR","LAX",340,2454,18,1,2013-01-01 18:00:00
