days,id,lastUpdatedAt,predictedEnd,recovery,during.bounds,during.lower,during.upper,sleep.id,sleep.naps,sleep.needBreakdown,sleep.qualityDuration,sleep.score,sleep.sleeps,sleep.state,strain.averageHeartRate,strain.kilojoules,strain.maxHeartRate,strain.rawScore,strain.score,strain.state,strain.workouts,recovery.blackoutUntil,recovery.calibrating,recovery.heartRateVariabilityRmssd,recovery.id,recovery.responded,recovery.restingHeartRate,recovery.score,recovery.state,recovery.surveyResponseId,recovery.timestamp,sleep.needBreakdown.baseline,sleep.needBreakdown.debt,sleep.needBreakdown.naps,sleep.needBreakdown.strain,sleep.needBreakdown.total
['2018-12-03'],5351571,2018-12-08T05:22:03.075181+00:00,2018-12-04T06:00:00+00:00,,[),2018-12-03T06:00:00+00:00,2018-12-04T05:20:00+00:00,,[],,,,[],,85.0,2644.0,150.0,0.00084226445191424,5.52149749119126,complete,"[{'altitudeChange': None, 'altitudeGain': None, 'averageHeartRate': 93, 'cumulativeWorkoutStrain': 4.0218, 'distance': None, 'during': {'bounds': '[)', 'lower': '2018-12-04T04:49:20.641+00:00', 'upper': '2018-12-04T04:59:24.096+00:00'}, 'gpsEnabled': False, 'id': 11313199, 'kilojoules': 154, 'maxHeartRate': 114, 'rawScore': 5.00388252212833e-05, 'responded': False, 'score': 4.02181770668603, 'source': 'user', 'sportId': 44, 'state': 'complete', 'surveyResponseId': None, 'timezoneOffset': '-0600', 'zones': [304000, 299000, 0, 0, 0, 0]}]",,,,,,,,,,,,,,,
['2018-12-04'],5363070,2018-12-05T14:25:34.931097+00:00,2018-12-05T05:20:00+00:00,,[),2018-12-04T05:20:00+00:00,2018-12-05T08:28:33.834+00:00,11331008.0,"[{'cyclesCount': 0, 'disturbanceCount': 0, 'during': {'bounds': '[)', 'lower': '2018-12-04T16:10:00+00:00', 'upper': '2018-12-04T16:40:00+00:00'}, 'id': 11337140, 'inBedDuration': 1798933, 'isNap': True, 'latencyDuration': 118995, 'lightSleepDuration': 1169958, 'noDataDuration': 0, 'qualityDuration': 1169958, 'remSleepDuration': 0, 'respiratoryRate': None, 'responded': False, 'score': 4, 'sleepConsistency': None, 'sleepEfficiency': 0.696429, 'slowWaveSleepDuration': 0, 'source': 'user', 'state': 'complete', 'surveyResponseId': None, 'timezoneOffset': '-0600', 'wakeDuration': 628976}]",,28498934.0,91.0,"[{'cyclesCount': 7, 'disturbanceCount': 13, 'during': {'bounds': '[)', 'lower': '2018-12-04T05:20:00+00:00', 'upper': '2018-12-04T14:00:00+00:00'}, 'id': 11331008, 'inBedDuration': 31198808, 'isNap': False, 'latencyDuration': 28999, 'lightSleepDuration': 16709380, 'noDataDuration': 0, 'qualityDuration': 28498934, 'remSleepDuration': 6149768, 'respiratoryRate': None, 'responded': True, 'score': 91, 'sleepConsistency': None, 'sleepEfficiency': 0.914312, 'slowWaveSleepDuration': 5639786, 'source': 'user', 'state': 'complete', 'surveyResponseId': 8748899, 'timezoneOffset': '-0600', 'wakeDuration': 2699899}]",complete,79.0,15328.0,169.0,0.00437894629332403,10.8451170296628,complete,"[{'altitudeChange': None, 'altitudeGain': None, 'averageHeartRate': 114, 'cumulativeWorkoutStrain': 7.2194, 'distance': None, 'during': {'bounds': '[)', 'lower': '2018-12-04T21:40:57.44+00:00', 'upper': '2018-12-04T22:02:07.035+00:00'}, 'gpsEnabled': False, 'id': 11342062, 'kilojoules': 707, 'maxHeartRate': 165, 'rawScore': 0.000602869397632149, 'responded': False, 'score': 5.07892713243535, 'source': 'user', 'sportId': 45, 'state': 'complete', 'surveyResponseId': None, 'timezoneOffset': '-0600', 'zones': [202000, 458000, 365000, 189000, 55000, 0]}, {'altitudeChange': None, 'altitudeGain': None, 'averageHeartRate': 116, 'cumulativeWorkoutStrain': 6.1858, 'distance': None, 'during': {'bounds': '[)', 'lower': '2018-12-04T21:08:31.819+00:00', 'upper': '2018-12-04T21:40:10.352+00:00'}, 'gpsEnabled': False, 'id': 11341695, 'kilojoules': 1142, 'maxHeartRate': 154, 'rawScore': 0.00089411377560818, 'responded': False, 'score': 5.61610274112223, 'source': 'user', 'sportId': 1, 'state': 'complete', 'surveyResponseId': None, 'timezoneOffset': '-0600', 'zones': [307000, 640000, 458000, 494000, 0, 0]}, {'altitudeChange': None, 'altitudeGain': None, 'averageHeartRate': 103, 'cumulativeWorkoutStrain': 4.5395, 'distance': None, 'during': {'bounds': '[)', 'lower': '2018-12-04T17:28:00+00:00', 'upper': '2018-12-04T18:05:00+00:00'}, 'gpsEnabled': False, 'id': 11338107, 'kilojoules': 799, 'maxHeartRate': 142, 'rawScore': 0.000317602837702357, 'responded': False, 'score': 4.53946540311268, 'source': 'user', 'sportId': 42, 'state': 'complete', 'surveyResponseId': None, 'timezoneOffset': '+0000', 'zones': [531000, 1105000, 570000, 14000, 0, 0]}]",,True,0.0843555,5068492.0,True,57.0,70.0,complete,8749114.0,2018-12-04T14:00:00+00:00,31115654.0,0.0,0.0,222025.0,31337680.0
['2018-12-05'],5379373,2018-12-06T16:16:18.531552+00:00,2018-12-06T05:20:00+00:00,,[),2018-12-05T08:28:33.834+00:00,2018-12-06T08:28:00+00:00,11367768.0,"[{'cyclesCount': 0, 'disturbanceCount': 2, 'during': {'bounds': '[)', 'lower': '2018-12-05T22:39:42.187+00:00', 'upper': '2018-12-05T23:11:15.532+00:00'}, 'id': 11379682, 'inBedDuration': 1892925, 'isNap': True, 'latencyDuration': 178992, 'lightSleepDuration': 1319947, 'noDataDuration': 0, 'qualityDuration': 1469941, 'remSleepDuration': 0, 'respiratoryRate': None, 'responded': False, 'score': 4, 'sleepConsistency': None, 'sleepEfficiency': 0.857642, 'slowWaveSleepDuration': 149994, 'source': 'user', 'state': 'complete', 'surveyResponseId': None, 'timezoneOffset': '-0600', 'wakeDuration': 422984}]",,19428314.0,65.0,"[{'cyclesCount': 2, 'disturbanceCount': 9, 'during': {'bounds': '[)', 'lower': '2018-12-05T08:28:34.834+00:00', 'upper': '2018-12-05T14:24:33.041+00:00'}, 'id': 11367768, 'inBedDuration': 21358207, 'isNap': False, 'latencyDuration': 88997, 'lightSleepDuration': 11578592, 'noDataDuration': 0, 'qualityDuration': 19428314, 'remSleepDuration': 5029823, 'respiratoryRate': None, 'responded': True, 'score': 65, 'sleepConsistency': None, 'sleepEfficiency': 0.913448, 'slowWaveSleepDuration': 2819899, 'source': 'auto+user', 'state': 'complete', 'surveyResponseId': 8780136, 'timezoneOffset': '-0600', 'wakeDuration': 1919930}]",complete,86.0,17789.0,190.0,0.0101209140038477,14.6631412590659,complete,"[{'altitudeChange': None, 'altitudeGain': None, 'averageHeartRate': 125, 'cumulativeWorkoutStrain': 12.6325, 'distance': None, 'during': {'bounds': '[)', 'lower': '2018-12-05T21:14:15.353+00:00', 'upper': '2018-12-05T21:35:15.927+00:00'}, 'gpsEnabled': False, 'id': 11377985, 'kilojoules': 949, 'maxHeartRate': 155, 'rawScore': 0.000835506586754461, 'responded': False, 'score': 5.5091287239716, 'source': 'user', 'sportId': 71, 'state': 'complete', 'surveyResponseId': None, 'timezoneOffset': '-0600', 'zones': [40000, 148000, 667000, 405000, 0, 0]}, {'altitudeChange': None, 'altitudeGain': None, 'averageHeartRate': 160, 'cumulativeWorkoutStrain': 11.9597, 'distance': None, 'during': {'bounds': '[)', 'lower': '2018-12-05T20:55:00.039+00:00', 'upper': '2018-12-05T21:13:10.944+00:00'}, 'gpsEnabled': False, 'id': 11377623, 'kilojoules': 1150, 'maxHeartRate': 190, 'rawScore': 0.00353648776233813, 'responded': False, 'score': 9.80006291652158, 'source': 'user', 'sportId': 1, 'state': 'complete', 'surveyResponseId': None, 'timezoneOffset': '-0600', 'zones': [0, 0, 144000, 216000, 380000, 288000]}, {'altitudeChange': None, 'altitudeGain': None, 'averageHeartRate': 124, 'cumulativeWorkoutStrain': 7.402, 'distance': None, 'during': {'bounds': '[)', 'lower': '2018-12-05T19:58:00+00:00', 'upper': '2018-12-05T20:47:00+00:00'}, 'gpsEnabled': False, 'id': 11377299, 'kilojoules': 2255, 'maxHeartRate': 167, 'rawScore': 0.00192516363038906, 'responded': False, 'score': 7.40198659220179, 'source': 'user', 'sportId': 45, 'state': 'complete', 'surveyResponseId': None, 'timezoneOffset': '+0000', 'zones': [40000, 535000, 1515000, 826000, 22000, 0]}]",,True,0.0679296,5085551.0,True,62.0,53.0,complete,8780151.0,2018-12-05T14:25:34+00:00,28848426.0,1298179.0,1169958.0,899478.0,29876125.0
['2018-12-06'],5396503,2018-12-07T14:56:17.903003+00:00,2018-12-07T08:28:00+00:00,,[),2018-12-06T08:28:00+00:00,2018-12-07T11:45:00+00:00,11406490.0,"[{'cyclesCount': 1, 'disturbanceCount': 1, 'during': {'bounds': '[)', 'lower': '2018-12-07T01:25:00+00:00', 'upper': '2018-12-07T02:30:00+00:00'}, 'id': 11418726, 'inBedDuration': 3898856, 'isNap': True, 'latencyDuration': 28999, 'lightSleepDuration': 2450914, 'noDataDuration': 0, 'qualityDuration': 3610870, 'remSleepDuration': 669975, 'respiratoryRate': None, 'responded': False, 'score': 11, 'sleepConsistency': None, 'sleepEfficiency': 0.933076, 'slowWaveSleepDuration': 489981, 'source': 'user', 'state': 'complete', 'surveyResponseId': None, 'timezoneOffset': '-0600', 'wakeDuration': 287990}]",,24040126.0,70.0,"[{'cyclesCount': 7, 'disturbanceCount': 9, 'during': {'bounds': '[)', 'lower': '2018-12-06T08:28:00+00:00', 'upper': '2018-12-06T15:49:56+00:00'}, 'id': 11406490, 'inBedDuration': 26514008, 'isNap': False, 'latencyDuration': 58998, 'lightSleepDuration': 12900532, 'noDataDuration': 0, 'qualityDuration': 24040126, 'remSleepDuration': 8469693, 'respiratoryRate': None, 'responded': True, 'score': 70, 'sleepConsistency': None, 'sleepEfficiency': 0.908717, 'slowWaveSleepDuration': 2669901, 'source': 'user', 'state': 'complete', 'surveyResponseId': 8813747, 'timezoneOffset': '-0600', 'wakeDuration': 2473910}]",complete,82.0,12837.0,202.0,0.00195439802826982,7.44985678914495,,[],,True,0.0172493,5103513.0,True,78.0,17.0,complete,8813717.0,2018-12-06T15:49:56+00:00,28847671.0,5048342.0,1469941.0,2074789.0,34500862.0
['2018-12-07'],5411521,2018-12-08T17:14:26.838746+00:00,2018-12-08T08:28:00+00:00,,[),2018-12-07T11:45:00+00:00,2018-12-08T08:49:30.703+00:00,11439597.0,"[{'cyclesCount': 4, 'disturbanceCount': 10, 'during': {'bounds': '[)', 'lower': '2018-12-07T22:30:00+00:00', 'upper': '2018-12-08T02:51:31+00:00'}, 'id': 11453589, 'inBedDuration': 15690419, 'isNap': True, 'latencyDuration': 208992, 'lightSleepDuration': 12029571, 'noDataDuration': 0, 'qualityDuration': 14269492, 'remSleepDuration': 1529947, 'respiratoryRate': None, 'responded': False, 'score': 35, 'sleepConsistency': None, 'sleepEfficiency': 0.921717, 'slowWaveSleepDuration': 709974, 'source': 'user', 'state': 'complete', 'surveyResponseId': None, 'timezoneOffset': '-0600', 'wakeDuration': 1390953}]",,5049824.0,17.0,"[{'cyclesCount': 1, 'disturbanceCount': 5, 'during': {'bounds': '[)', 'lower': '2018-12-07T11:45:00+00:00', 'upper': '2018-12-07T13:45:00+00:00'}, 'id': 11439597, 'inBedDuration': 7198736, 'isNap': False, 'latencyDuration': 368986, 'lightSleepDuration': 3349882, 'noDataDuration': 0, 'qualityDuration': 5049824, 'remSleepDuration': 459984, 'respiratoryRate': None, 'responded': True, 'score': 17, 'sleepConsistency': None, 'sleepEfficiency': 0.739386, 'slowWaveSleepDuration': 1239958, 'source': 'user', 'state': 'complete', 'surveyResponseId': 8840387, 'timezoneOffset': '-0600', 'wakeDuration': 2118928}]",complete,74.0,11541.0,165.0,0.00301873255431546,9.08472018411386,complete,"[{'altitudeChange': None, 'altitudeGain': None, 'averageHeartRate': 121, 'cumulativeWorkoutStrain': 8.1197, 'distance': None, 'during': {'bounds': '[)', 'lower': '2018-12-07T20:00:00+00:00', 'upper': '2018-12-07T21:25:00+00:00'}, 'gpsEnabled': False, 'id': 11448383, 'kilojoules': 3418, 'maxHeartRate': 165, 'rawScore': 0.00237373184845045, 'responded': False, 'score': 8.11965985297841, 'source': 'user', 'sportId': 45, 'state': 'complete', 'surveyResponseId': None, 'timezoneOffset': '-0600', 'zones': [245000, 1138000, 2736000, 863000, 37000, 0]}]",,False,0.0482147,5119194.0,True,63.0,27.0,complete,8840379.0,2018-12-07T13:45:00+00:00,28847147.0,4327072.0,3610870.0,375192.0,29938541.0
['2018-12-08'],5428489,2018-12-09T14:01:28.23416+00:00,2018-12-09T08:49:30.703+00:00,,[),2018-12-08T08:49:30.703+00:00,2018-12-09T08:23:24.479+00:00,11478700.0,[],,28088982.0,100.0,"[{'cyclesCount': 8, 'disturbanceCount': 15, 'during': {'bounds': '[)', 'lower': '2018-12-08T08:49:31.703+00:00', 'upper': '2018-12-08T17:09:10.568+00:00'}, 'id': 11478700, 'inBedDuration': 29978865, 'isNap': False, 'latencyDuration': 28998, 'lightSleepDuration': 18869318, 'noDataDuration': 0, 'qualityDuration': 28088982, 'remSleepDuration': 6559764, 'respiratoryRate': None, 'responded': True, 'score': 100, 'sleepConsistency': None, 'sleepEfficiency': 0.937867, 'slowWaveSleepDuration': 2659900, 'source': 'auto+user', 'state': 'complete', 'surveyResponseId': 8872535, 'timezoneOffset': '-0600', 'wakeDuration': 1869928}]",complete,74.0,11350.0,164.0,0.00173435330634522,7.08553531777322,,[],,False,0.0610036,5137067.0,True,58.0,54.0,complete,8872542.0,2018-12-08T17:09:40.566+00:00,28846622.0,11971348.0,14269492.0,577491.0,27125970.0
['2018-12-09'],5438219,2018-12-10T16:34:59.783422+00:00,2018-12-10T08:23:24.479+00:00,,[),2018-12-09T08:23:24.479+00:00,2018-12-10T09:17:54.693+00:00,11501786.0,"[{'cyclesCount': 1, 'disturbanceCount': 2, 'during': {'bounds': '[)', 'lower': '2018-12-10T02:30:00+00:00', 'upper': '2018-12-10T05:00:00+00:00'}, 'id': 11522026, 'inBedDuration': 8998745, 'isNap': True, 'latencyDuration': 440496, 'lightSleepDuration': 6881317, 'noDataDuration': 62511, 'qualityDuration': 7711287, 'remSleepDuration': 649977, 'respiratoryRate': None, 'responded': False, 'score': 22, 'sleepConsistency': None, 'sleepEfficiency': 0.901036, 'slowWaveSleepDuration': 179993, 'source': 'user', 'state': 'complete', 'surveyResponseId': None, 'timezoneOffset': '-0600', 'wakeDuration': 1213954}]",,19728290.0,68.0,"[{'cyclesCount': 4, 'disturbanceCount': 4, 'during': {'bounds': '[)', 'lower': '2018-12-09T08:23:25.479+00:00', 'upper': '2018-12-09T14:00:33.728+00:00'}, 'id': 11501786, 'inBedDuration': 20228249, 'isNap': False, 'latencyDuration': 28999, 'lightSleepDuration': 15558443, 'noDataDuration': 0, 'qualityDuration': 19728290, 'remSleepDuration': 2919893, 'respiratoryRate': None, 'responded': True, 'score': 68, 'sleepConsistency': None, 'sleepEfficiency': 0.976684, 'slowWaveSleepDuration': 1249954, 'source': 'auto+user', 'state': 'complete', 'surveyResponseId': 8890855, 'timezoneOffset': '-0600', 'wakeDuration': 459983}]",complete,73.0,11812.0,163.0,0.00200351845734543,7.5299890986431,,[],,False,0.052939,5148087.0,True,64.0,44.0,complete,8890838.0,2018-12-09T14:01:28+00:00,28846097.0,0.0,0.0,340163.0,29186261.0
['2018-12-10'],5459171,2018-12-11T13:33:44.811693+00:00,2018-12-11T08:23:24.479+00:00,,[),2018-12-10T09:17:54.693+00:00,2018-12-11T06:49:34.754+00:00,11545050.0,[],,24018135.0,87.0,"[{'cyclesCount': 6, 'disturbanceCount': 12, 'during': {'bounds': '[)', 'lower': '2018-12-10T09:17:55.693+00:00', 'upper': '2018-12-10T16:17:43.743+00:00'}, 'id': 11545050, 'inBedDuration': 25188050, 'isNap': False, 'latencyDuration': 28999, 'lightSleepDuration': 12298559, 'noDataDuration': 0, 'qualityDuration': 24018135, 'remSleepDuration': 7729723, 'respiratoryRate': None, 'responded': True, 'score': 87, 'sleepConsistency': None, 'sleepEfficiency': 0.954652, 'slowWaveSleepDuration': 3989853, 'source': 'auto', 'state': 'complete', 'surveyResponseId': 8928082, 'timezoneOffset': '-0600', 'wakeDuration': 1159959}]",complete,73.0,10673.0,169.0,0.00222322499950338,7.88299721038841,,[],,False,0.0852892,5170570.0,True,53.0,76.0,complete,8928075.0,2018-12-10T16:18:13.742+00:00,28845572.0,5933946.0,7711287.0,383337.0,27451569.0
['2018-12-11'],5471451,2018-12-12T16:43:05.855574+00:00,2018-12-12T06:49:34.754+00:00,,[),2018-12-11T06:49:34.754+00:00,2018-12-12T07:30:00+00:00,11574141.0,"[{'cyclesCount': 1, 'disturbanceCount': 6, 'during': {'bounds': '[)', 'lower': '2018-12-11T21:40:00+00:00', 'upper': '2018-12-11T23:07:00+00:00'}, 'id': 11589275, 'inBedDuration': 5218805, 'isNap': True, 'latencyDuration': 148994, 'lightSleepDuration': 3689868, 'noDataDuration': 0, 'qualityDuration': 4499837, 'remSleepDuration': 629976, 'respiratoryRate': None, 'responded': False, 'score': 13, 'sleepConsistency': None, 'sleepEfficiency': 0.887575, 'slowWaveSleepDuration': 179993, 'source': 'user', 'state': 'complete', 'surveyResponseId': None, 'timezoneOffset': '-0600', 'wakeDuration': 718974}]",,21028222.0,66.0,"[{'cyclesCount': 6, 'disturbanceCount': 11, 'during': {'bounds': '[)', 'lower': '2018-12-11T06:49:35.754+00:00', 'upper': '2018-12-11T12:58:23.919+00:00'}, 'id': 11574141, 'inBedDuration': 22128165, 'isNap': False, 'latencyDuration': 28999, 'lightSleepDuration': 16309394, 'noDataDuration': 0, 'qualityDuration': 21028222, 'remSleepDuration': 3298879, 'respiratoryRate': None, 'responded': True, 'score': 66, 'sleepConsistency': None, 'sleepEfficiency': 0.951539, 'slowWaveSleepDuration': 1419949, 'source': 'auto', 'state': 'complete', 'surveyResponseId': 8951047, 'timezoneOffset': '-0600', 'wakeDuration': 1099958}]",complete,74.0,14025.0,177.0,0.00702802737210734,13.0832424021302,,[],,False,0.0781025,5183370.0,True,52.0,81.0,complete,8951059.0,2018-12-11T12:59:03.917+00:00,28845048.0,2410621.0,0.0,421217.0,31676888.0
['2018-12-12'],5490918,2018-12-13T13:25:45.785909+00:00,2018-12-13T06:49:34.754+00:00,,[),2018-12-12T07:30:00+00:00,2018-12-13T07:20:43.661+00:00,11618906.0,[],,27978977.0,91.0,"[{'cyclesCount': 8, 'disturbanceCount': 24, 'during': {'bounds': '[)', 'lower': '2018-12-12T07:30:00+00:00', 'upper': '2018-12-12T16:10:00+00:00'}, 'id': 11618906, 'inBedDuration': 31198826, 'isNap': False, 'latencyDuration': 518981, 'lightSleepDuration': 19999267, 'noDataDuration': 0, 'qualityDuration': 27978977, 'remSleepDuration': 7209739, 'respiratoryRate': None, 'responded': True, 'score': 91, 'sleepConsistency': None, 'sleepEfficiency': 0.911966, 'slowWaveSleepDuration': 769971, 'source': 'user', 'state': 'complete', 'surveyResponseId': 8989146, 'timezoneOffset': '-0600', 'wakeDuration': 3169889}]",complete,69.0,10575.0,168.0,0.00104995208576434,5.89776569500072,,[],,False,0.049118,5203974.0,True,53.0,50.0,complete,8989137.0,2018-12-12T16:10:00+00:00,28844524.0,4903569.0,4499837.0,1506640.0,30754897.0
