Processes,fork real avg,omp real avg,pthread real avg,fork user avg,omp user avg,pthread user avg,fork syst avg,omp syst avg,pthread syst avg,fork real 1,fork real 2,fork real 3,fork user 1,fork user 2,fork user 3,fork syst 1,fork syst 2,fork syst 3,omp real 1,omp real 2,omp real 3,omp user 1,omp user 2,omp user 3,omp syst 1,omp syst 2,omp syst 3,pthread real 1,pthread real 2,pthread real 3,pthread user 1,pthread user 2,pthread user 3,pthread syst 1,pthread syst 2,pthread syst 3
1,179.6533333,186.7186667,184.686,179.1246667,185.8176667,184.2656667,0.343666667,0.281333333,0.307666667,177.415,184.116,177.429,176.859,183.531,176.984,0.328,0.406,0.297,181.057,199.083,180.016,180.453,197.531,179.469,0.266,0.25,0.328,177.777,199.803,176.478,177.344,199.406,176.047,0.344,0.266,0.313
2,109.1546667,113.4503333,104.743,216.745,225.4736667,208.224,0.348666667,0.302,0.307666667,104.316,106.185,116.963,207.141,210.953,232.141,0.281,0.406,0.359,119.12,111.104,110.127,236.703,220.734,218.984,0.313,0.359,0.234,104.225,104.669,105.335,207.172,207.922,209.578,0.313,0.313,0.297
3,102.0723333,102.1856667,103.8026667,299.3646667,303.4426667,305.4273333,0.630333333,0.255333333,0.349,101.568,103.077,101.572,300.625,297.547,299.922,0.578,0.688,0.625,102.194,101.982,102.381,302.781,303.406,304.141,0.25,0.297,0.219,101.624,108.109,101.675,298.953,318.313,299.016,0.281,0.422,0.344
4,102.2493333,102.5763333,105.1503333,401.3073333,402.2813333,402.8126667,0.739333333,0.338666667,0.390666667,102.382,102.25,102.116,400.875,401.656,401.391,0.656,0.828,0.734,102.383,102.768,102.578,402,401.578,403.266,0.313,0.344,0.359,107.522,105.948,101.981,402.281,402.313,403.844,0.406,0.344,0.422
5,103.2726667,104.931,103.4663333,405.3853333,405.2293333,407.172,0.895666667,0.307666667,0.312666667,103.087,103.088,103.643,404.984,404.953,406.219,0.922,0.781,0.984,103.256,103.826,107.711,405.828,405.922,403.938,0.297,0.313,0.313,102.836,103.039,104.524,406.75,407.047,407.719,0.344,0.313,0.281
6,105.9443333,105.8103333,104.0033333,408.651,408.1143333,411.224,1.073,0.328,0.312666667,104.537,108.343,104.953,408.75,407.859,409.344,0.938,1.078,1.203,107.283,105.926,104.222,407.734,408.656,407.953,0.281,0.406,0.297,104.118,103.885,104.007,411.453,411.063,411.156,0.313,0.297,0.328
7,107.3923333,105.844,108.0213333,411.974,411.4113333,414.2866667,1.218666667,0.307333333,0.380333333,109.325,105.505,107.347,411.828,412.188,411.906,1.234,1.297,1.125,104.773,107.721,105.038,410.547,411.703,411.984,0.25,0.344,0.328,105.265,109.745,109.054,415.641,413.141,414.078,0.297,0.422,0.422
8,106.7843333,106.3906667,106.0103333,416.6563333,415.1873333,419.5366667,1.151,0.333333333,0.343666667,106.587,106.46,107.306,415.141,415.5,419.328,1.313,1.031,1.109,105.926,107.192,106.054,414.859,415.75,414.953,0.297,0.328,0.375,105.921,106.135,105.975,419.078,420.094,419.438,0.344,0.359,0.328
9,110.2533333,107.33,108.1226667,424.4636667,421.5313333,427.13,1.489333333,0.297,0.291666667,108.818,110.55,111.392,424.719,422.656,426.016,1.359,1.578,1.531,107.286,107.198,107.506,421.641,421.5,421.453,0.297,0.313,0.281,107.945,108.249,108.174,427.25,427.031,427.109,0.281,0.344,0.25
10,111.4193333,109.781,111.3356667,430,428.7916667,436.875,1.557666667,0.328333333,0.375,111.842,112.265,110.151,429.859,430.641,429.5,1.688,1.547,1.438,109.045,109.014,111.284,428.953,428.578,428.844,0.313,0.313,0.359,110.622,110.639,112.746,437.25,437.109,436.266,0.344,0.422,0.359
