real,user,system,
181.057,180.453,0.266, 
199.083,197.531,0.25, 
180.016,179.469,0.328, 
119.12,236.703,0.313, 
111.104,220.734,0.359, 
110.127,218.984,0.234, 
102.194,302.781,0.25, 
101.982,303.406,0.297, 
102.381,304.141,0.219, 
102.383,402,0.313, 
102.768,401.578,0.344, 
102.578,403.266,0.359, 
103.256,405.828,0.297, 
103.826,405.922,0.313, 
107.711,403.938,0.313, 
107.283,407.734,0.281, 
105.926,408.656,0.406, 
104.222,407.953,0.297, 
104.773,410.547,0.25, 
107.721,411.703,0.344, 
105.038,411.984,0.328, 
105.926,414.859,0.297, 
107.192,415.75,0.328, 
106.054,414.953,0.375, 
107.286,421.641,0.297, 
107.198,421.5,0.313, 
107.506,421.453,0.281, 
109.045,428.953,0.313, 
109.014,428.578,0.313, 
111.284,428.844,0.359, 
